30113030000000068,Sakuya N,Japan,Sakuya,780,120,90,90,90,250
30113030000000067,Sakuya N,Japan,Sakuya,780,120,90,90,90,250
30101030000000055,Gaia N,Greek,Gaia,1070,250,130,110,110,210
30113030000000066,Sakuya N,Japan,Sakuya,780,120,90,90,90,250
30101030000000054,Gaia N,Greek,Gaia,1070,250,130,110,110,210
30101030000000053,Gaia N,Greek,Gaia,1070,250,130,110,110,210
30113030000000065,Sakuya N,Japan,Sakuya,780,120,90,90,90,250
30101030000000052,Gaia N,Greek,Gaia,1070,250,130,110,110,210
30113030000000064,Sakuya N,Japan,Sakuya,780,120,90,90,90,250
30114050000000178,Amenouzume R,Japan,Amenouzume,2140,350,290,190,200,230
30101030000000051,Gaia N,Greek,Gaia,1070,250,130,110,110,210
30113030000000063,Sakuya N,Japan,Sakuya,780,120,90,90,90,250
30114050000000177,Amenouzume R,Japan,Amenouzume,2140,350,290,190,200,230
30101050000000069,Gaia R,Greek,Gaia,1810,410,230,190,200,210
30113030000000062,Sakuya N,Japan,Sakuya,780,120,90,90,90,250
30101030000000050,Gaia N,Greek,Gaia,1070,250,130,110,110,210
30100030000000204,Poseidon N,Greek,Poseidon,1280,160,160,110,110,250
30114030000000238,Amenouzume N,Japan,Amenouzume,1260,210,160,110,110,230
30114050000000176,Amenouzume R,Japan,Amenouzume,2140,350,290,190,200,230
30113030000000061,Sakuya N,Japan,Sakuya,780,120,90,90,90,250
30101030000000049,Gaia N,Greek,Gaia,1070,250,130,110,110,210
30101050000000068,Gaia R,Greek,Gaia,1810,410,230,190,200,210
30109030000000233,Thor N,Norse,Thor,850,100,110,90,90,250
30114030000000237,Amenouzume N,Japan,Amenouzume,1260,210,160,110,110,230
30114050000000175,Amenouzume R,Japan,Amenouzume,2140,350,290,190,200,230
30113030000000060,Sakuya N,Japan,Sakuya,780,120,90,90,90,250
30101030000000048,Gaia N,Greek,Gaia,1070,250,130,110,110,210
30101050000000067,Gaia R,Greek,Gaia,1810,410,230,190,200,210
30109030000000232,Thor N,Norse,Thor,850,100,110,90,90,250
30115050000000277,Amatsuhikone R,Japan,Amatsuhikone,1810,340,230,190,200,230
30113030000000059,Sakuya N,Japan,Sakuya,780,120,90,90,90,250
30114050000000174,Amenouzume R,Japan,Amenouzume,2140,350,290,190,200,230
30115070000000025,Amatsuhikone SR,Japan,Amatsuhikone,3050,600,390,320,340,230
30101030000000047,Gaia N,Greek,Gaia,1070,250,130,110,110,210
30101050000000066,Gaia R,Greek,Gaia,1810,410,230,190,200,210
30109030000000231,Thor N,Norse,Thor,850,100,110,90,90,250
30115050000000276,Amatsuhikone R,Japan,Amatsuhikone,1810,340,230,190,200,230
30114050000000173,Amenouzume R,Japan,Amenouzume,2140,350,290,190,200,230
30113030000000058,Sakuya N,Japan,Sakuya,780,120,90,90,90,250
30115070000000024,Amatsuhikone SR,Japan,Amatsuhikone,3050,600,390,320,340,230
30101030000000046,Gaia N,Greek,Gaia,1070,250,130,110,110,210
30101050000000065,Gaia R,Greek,Gaia,1810,410,230,190,200,210
