token_id,nft_rarity,game_id,grade,attack_kind,next_grade,level,max_level,skill0:id/name/type/desc/locked/,skill1:id/name/type/desc/locked/,skill2:id/name/type/desc/locked/,skill3:id/name/type/desc/locked/,attack,defences,blood,mainline,playtime,riftscore,rank,trace_id
08546,elite,MRM,3,Melee,4,1,150,43/Energy Drain/supporting skill/To Be Continued/false/,47/Black Hole Master/supporting skill/To Be Continued/false/,18/Mangle - Reap Death/supporting skill/To Be Continued/false/,2/Paralyze/supporting skill/To Be Continued/false/,,,,,0,0,0,59ca6d80-082f-46fe-9f8b-c00b8c1ebc81
05520,elite,MRM,3,Melee,4,1,150,43/Energy Drain/supporting skill/To Be Continued/false/,47/Black Hole Master/supporting skill/To Be Continued/false/,18/Mangle - Reap Death/supporting skill/To Be Continued/false/,2/Paralyze/supporting skill/To Be Continued/false/,,,,,0,0,0,4a51559a-32ab-4ea3-98d4-e6e5ea353472
06684,elite,MRM,3,Melee,4,1,150,1/Electrostatic Core/supporting skill/To Be Continued/false/,5/Potential Burst/supporting skill/To Be Continued/false/,24/LightBlade - Reap Death/supporting skill/To Be Continued/false/,48/Black Hole - Reap Death/supporting skill/To Be Continued/false/,,,,,0,0,0,d43c9bae-abfb-4e1f-a124-731d844f6a21
09886,elite,MRM,3,Melee,4,1,150,1/Electrostatic Core/supporting skill/To Be Continued/false/,5/Potential Burst/supporting skill/To Be Continued/false/,24/LightBlade - Reap Death/supporting skill/To Be Continued/false/,48/Black Hole - Reap Death/supporting skill/To Be Continued/false/,,,,,0,0,0,99475f44-27ae-4230-8fec-d270440aea92
03763,elite,MRM,3,Melee,4,1,150,1/Electrostatic Core/supporting skill/To Be Continued/false/,5/Potential Burst/supporting skill/To Be Continued/false/,24/LightBlade - Reap Death/supporting skill/To Be Continued/false/,48/Black Hole - Reap Death/supporting skill/To Be Continued/false/,,,,,0,0,0,72959702-2217-460a-9c10-d70ca79a1fbf
08953,elite,MRM,3,Ranged,4,1,150,56/Hail of Bullets/supporting skill/To Be Continued/false/,57/Energy Laser/supporting skill/To Be Continued/false/,70/Lock Target/supporting skill/To Be Continued/false/,88/Massive Mine/supporting skill/To Be Continued/false/,,,,,0,0,0,b4c78e9a-3e04-420b-94fd-6ffe8332886b
08717,elite,MRM,3,Melee,4,1,150,1/Electrostatic Core/supporting skill/To Be Continued/false/,5/Potential Burst/supporting skill/To Be Continued/false/,24/LightBlade - Reap Death/supporting skill/To Be Continued/false/,48/Black Hole - Reap Death/supporting skill/To Be Continued/false/,,,,,0,0,0,0b2afe55-9c48-450b-8c10-087015f95ad6
09353,elite,MRM,3,Ranged,4,1,150,56/Hail of Bullets/supporting skill/To Be Continued/false/,57/Energy Laser/supporting skill/To Be Continued/false/,70/Lock Target/supporting skill/To Be Continued/false/,88/Massive Mine/supporting skill/To Be Continued/false/,,,,,0,0,0,199c98f4-a5d2-4130-ab16-f89ddcb52293
08567,elite,MRM,3,Ranged,4,1,150,56/Hail of Bullets/supporting skill/To Be Continued/false/,57/Energy Laser/supporting skill/To Be Continued/false/,70/Lock Target/supporting skill/To Be Continued/false/,88/Massive Mine/supporting skill/To Be Continued/false/,,,,,0,0,0,1078da58-ce47-4c5d-bc8f-53d967624bc5
10098,elite,MRM,3,Ranged,4,1,150,56/Hail of Bullets/supporting skill/To Be Continued/false/,57/Energy Laser/supporting skill/To Be Continued/false/,70/Lock Target/supporting skill/To Be Continued/false/,88/Massive Mine/supporting skill/To Be Continued/false/,,,,,0,0,0,27dc75cb-f854-45a6-a5b6-c3d5aad26663
01510,elite,MRM,3,Melee,4,1,150,1/Electrostatic Core/supporting skill/To Be Continued/false/,5/Potential Burst/supporting skill/To Be Continued/false/,24/LightBlade - Reap Death/supporting skill/To Be Continued/false/,48/Black Hole - Reap Death/supporting skill/To Be Continued/false/,,,,,0,0,0,27245d86-1273-4447-b884-c8e43c9435fc
07522,elite,MRM,3,Melee,4,1,150,43/Energy Drain/supporting skill/To Be Continued/false/,47/Black Hole Master/supporting skill/To Be Continued/false/,18/Mangle - Reap Death/supporting skill/To Be Continued/false/,2/Paralyze/supporting skill/To Be Continued/false/,,,,,0,0,0,fd0a3c57-b5a9-42f5-9c52-b6874f21d579
06879,elite,MRM,3,Melee,4,1,150,43/Energy Drain/supporting skill/To Be Continued/false/,47/Black Hole Master/supporting skill/To Be Continued/false/,18/Mangle - Reap Death/supporting skill/To Be Continued/false/,2/Paralyze/supporting skill/To Be Continued/false/,,,,,0,0,0,97b5968b-b066-45a2-82f4-c857c583e7d7
01276,elite,MRM,3,Melee,4,1,150,43/Energy Drain/supporting skill/To Be Continued/false/,47/Black Hole Master/supporting skill/To Be Continued/false/,18/Mangle - Reap Death/supporting skill/To Be Continued/false/,2/Paralyze/supporting skill/To Be Continued/false/,,,,,0,0,0,7cbb6e59-054d-4301-a883-e6c001404da8
08642,legendary,MRM,4,Ranged,5,1,180,73/Melee Shot/supporting skill/To Be Continued/false/,74/Internal Injury/supporting skill/To Be Continued/false/,55/Heavy Machine Gunner/supporting skill/To Be Continued/false/,57/Energy Laser/supporting skill/To Be Continued/false/,,,,,0,0,0,8b4e143e-941f-435f-8055-7dee15f2c235
01337,elite,MRM,3,Melee,4,1,150,1/Electrostatic Core/supporting skill/To Be Continued/false/,5/Potential Burst/supporting skill/To Be Continued/false/,24/LightBlade - Reap Death/supporting skill/To Be Continued/false/,48/Black Hole - Reap Death/supporting skill/To Be Continued/false/,,,,,0,0,0,cba0f572-7929-48f5-8114-8e0daf311cd9
